,Run,Event,Cluster,Bizarrice,E1,px1,py1,pz1,pt1,sigma,Prob_1,pz1_pt1
25269,163589,29649708,0,4.302699235602234,0.05805351526298872,-0.7111243037987037,-0.2527659937171623,-0.33369385765750886,0.5545592637540474,-1.6721993063848246,-0.29063318547998446,-0.4296698095470141
2980,165617,105296131,0,4.290122528920775,0.04381494451689627,-0.4452572264614301,0.49141024310905795,-0.3331146992873574,0.42812764540384196,-1.6051969844581073,-0.4710044498592751,-0.47219633582480885
18691,166784,77289227,0,4.283872456952909,0.10240986966792022,-0.896185460583414,0.07005613347669068,-0.36420988506388924,0.7599385697497398,-1.6314924382479667,-0.04981207646030628,-0.4097680237029819
13345,166784,27375188,0,4.282898944833322,0.031039968221631735,-0.8978819636357362,0.1339431740856249,0.3044824792434327,0.7794522041298217,-1.6295028026851346,0.09592754450579485,0.41066880832614616
21732,163589,11735630,0,4.264157703687627,-0.011719022347181024,-0.8974720702808128,0.18244248473848942,0.2125194775949292,0.8001529367775214,-1.7194128205514845,0.14440823876060344,0.29603065263660516
30990,160957,101773970,0,4.256472734922421,0.008983757223401641,-0.3920963355131536,-0.5093694694031103,-0.2652040583096996,0.5268489984785083,-1.682954093210943,0.5293911146465888,-0.341624908137016
3911,165617,114273621,0,4.255520829527267,-0.06212647423967545,-0.2625985001736328,-0.6342707534398485,0.09943448374545112,0.7077740801612711,-1.67085495803156,0.6542444554859904,0.1642171242498377
10312,166701,687024342,0,4.2544378422078974,-0.20777969565601076,-0.1541589359433082,0.023514113210969845,0.1993673960996221,-0.7162803073710108,-1.6963438028094606,-0.01445912831578249,1.2425344628017327
10553,166701,689733171,0,4.252577967812059,-0.02263106323258793,-0.8228316289418908,0.3898791866902428,-0.10773781278931766,0.8427301946427519,-1.6109507954100803,-0.36951236600596415,-0.08630492009922404
5303,165617,128008204,0,4.249152808039336,-0.06319859651884377,-0.40721684593922153,-0.5427065443841382,0.15455393668979914,0.6141629024862553,-1.6613907456245756,0.5627153932342349,0.24320784316226787
23403,163589,20053540,0,4.244397576863138,-0.011992462708290005,-0.6463896185371003,0.4678190310925865,-0.19767808221967995,0.6634218277435069,-1.6070790721526778,0.42967524369418875,-0.22034223871510739
25525,163589,30832071,0,4.239851832204356,0.09150373037304084,-0.654120662648019,0.22682426976125672,-0.4050167787339325,0.36650028676779006,-1.679835205031369,-0.20652003749726003,-0.6095308613916878
29094,163589,48983337,0,4.238505633626997,-0.061026811204711935,-0.35190970784085934,0.6840590299008018,0.013291159301492784,0.751007068498138,-1.6582718574450013,-0.6635792886618284,0.055360710774163366
15706,166784,51603770,0,4.237523853301458,0.008584416264371989,-0.6942446677244223,-0.35632198880839117,-0.2366416098832334,0.6576559218722198,-1.617672537176404,-0.3941494307356024,-0.27225328083681377
2837,165617,104248758,0,4.236041673218911,-0.07809027661664981,-0.42094258036589693,0.5988672893175202,0.09059799652325089,0.6235466316493306,-1.7063457545577507,0.5606731992136446,0.1569779449748673
19655,163589,1558452,0,4.233550669969453,0.0338668300843196,-0.8980982962397237,-0.06113193120446756,0.3105182603174374,0.7749525364106604,-1.6370311534634174,-0.0990726814558701,0.41887898079355695
