,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,theta,mu,sigma,Prob_1,pz1_pt1,Run,Event,Z_Prob_1_abs
4782,0.58231737538262,-1.3695155051446213,1.3184015107627425,0.6965532464877763,3.1951293445456326,0.6553891807826044,1.2997677637451333,0.9637334026888175,0.13612291884302213,-0.8587250247875443,0.6529972660850635,0.632313672200966,0.2183127739636868,0.8549280373075686,1.2499994149423064,-0.9637334026888175,-1.101629657616465,3.1951293445456326,-1.627459393188172,-1.2976782779778369,0.4242991002292212,165617,123418042,1.2976782779778369
22335,0.7235266991317235,-1.975411892244013,-1.2488689547743352,0.7419955681577265,4.0382178399056885,0.6014421904586933,-1.2968246738374205,0.9637334026888175,0.05990175361440292,-0.9458178576149208,-0.7621581652969339,0.4567399629613455,0.29331412415417596,0.6079929286574522,-1.3869913251273362,-0.9637334026888175,-1.3862517987649172,4.0382178399056885,-1.6938702018394531,1.2686067440908633,0.38607629629939116,163589,15041754,1.2686067440908633
18894,0.25631548183858793,-0.8268394750789209,-1.2084288098399634,-0.13168212152543374,2.4779637111353736,-0.09448157220081947,-1.0790565727330326,-1.0376026487924075,-0.21356396805718947,-0.5101440585452494,-0.7768783764151136,-0.20274075655170332,0.024548763896647667,-0.3741377961790091,-1.215023325085313,1.0376026487924075,-1.0124562579815781,2.4779637111353736,-1.7206496210364879,-1.2459291716591696,-0.026686299512464314,166784,79761282,1.2459291716591696
18854,1.2981429296322589,-1.4977267307867432,-1.2066834840799987,1.6696581654705724,3.266502214673939,1.1778631264513142,-1.2308742436213775,0.9637334026888175,2.6732149202911133,-1.625946951810368,-1.9090459653841612,3.2487817212459866,1.7993281886062664,1.500691934371613,-1.2748262104728685,-0.9637334026888175,-0.6815410987650579,3.266502214673939,-1.6407415549184283,1.2264374662352302,0.9198015290359667,166784,78060822,1.2264374662352302
13024,0.9570782098651224,-1.1775317050323135,1.179190359448569,1.3048705117454944,2.682992540499675,1.1069201785570004,1.2901659956188376,0.9637334026888175,0.0853350614598962,-0.48026059887611344,0.4671178434341122,0.7452724810873349,-0.2024650029888461,1.3566734240841922,1.1723167439514148,-0.9637334026888175,-0.6741225541729003,2.682992540499675,-1.7193052726832232,-1.1585205626851613,0.8349054664032598,166784,29900940,1.1585205626851613
12898,0.4301645355986293,-1.8117221195479543,-1.1135137557205483,0.06291941292287413,3.5723100341101097,0.11425003171068507,-1.3037379468883534,0.9637334026888175,0.43379556899485283,-1.8236955839106548,-1.1539043242851543,-0.052473355503679264,1.2773911831560678,-0.09807534836963912,-1.4484045017648817,-0.9637334026888175,-1.7410158897944958,3.5723100341101097,-1.7045174407973103,1.1333035009562555,0.0909138328919471,166784,24342655,1.1333035009562555
11320,0.32570244886762567,-1.1589327940526584,1.1338209094608607,0.3640990537112336,2.5718236141617004,0.4402082179716169,1.2967500651911545,0.9637334026888175,-0.29280607695159716,-0.5133724365102068,0.5326928379688,0.09101663643687381,-0.11845675664753527,0.21391081773614365,1.1586015046842597,-0.9637334026888175,-1.2789693077649062,2.5718236141617004,-1.6050356626557156,-1.1131685277025154,0.2804630886809068,166784,9373666,1.1131685277025154
7453,0.38572555892631244,-0.7401299516228061,-1.0613569277774224,0.6126055373575269,2.071727378258724,0.7436315854896491,-1.0829521472299868,-1.0376026487924075,0.5532269172717431,-0.667066287484791,-1.3089941161601244,0.9915820390380577,0.684345995244123,0.9283936594092416,-1.1548317487063808,1.0376026487924075,-0.7480014866802576,2.071727378258724,-1.6470331052117075,-1.0989137429495208,0.4907324483618408,165617,143494908,1.0989137429495208
17838,0.13028701612313942,-0.4299545412109517,1.1256986053427829,0.07204764036884471,1.843442728546898,0.14437233151180007,1.082658069597977,-1.0376026487924075,-0.28472772480248676,-0.37423773161784984,0.6283396151462087,0.05394092441195105,-0.08639599429758854,0.12696031639407557,1.045881117184968,1.0376026487924075,-0.6585509607071085,1.843442728546898,-1.6130479788411736,1.087302291715409,0.10780059700178093,166784,69258464,1.087302291715409
2422,0.23460156309095476,-0.607785634651872,-1.060518089040075,0.37250333319451473,1.95308538568365,0.5169176514701742,-1.0407592347207217,0.9637334026888175,-0.2431433382521913,-0.3360422468636124,-0.7626165502494977,0.15113553942719793,-0.05650277938580688,0.31024679502952673,-1.1287894522841306,-0.9637334026888175,-0.7695095550235238,1.95308538568365,-1.606272463140719,1.08032817659432,0.32927140867552573,165617,99676897,1.08032817659432
